srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.2,50219,149.171.126.2,46896,tcp,FIN,0.298429,424,8824,31,29,1,4,ftp-data,9945.414062,216842.1875,8,12,255,255,2392388374,1189608539,53,735,0,0,2552.826505,2028.899139,1424228637,1424228637,42.585429,27.080637,6.68e-4,5.39e-4,1.29e-4,0,0,NA,NA,NA,3,4,5,6,1,1,4,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-6,114,0,254,0,0,0,dns,456000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424238909,1424238909,0.001,0,0,0,0,0,2,NA,NA,NA,34,34,15,15,15,15,34,Generic,1
59.166.0.8,17662,149.171.126.7,15850,tcp,FIN,0.041527,2958,30856,31,29,7,17,NA,558094.75,5820598.5,48,48,255,255,1911144199,4069618456,62,643,0,0,68.81674,66.738288,1421957562,1421957562,0.87683,0.871191,7.38e-4,5.77e-4,1.61e-4,0,0,0,0,0,9,12,3,2,1,1,2,,0
175.45.176.2,65068,149.171.126.16,445,tcp,FIN,3.330376,1444,916,254,252,3,2,NA,3221.258057,2017.790283,14,12,255,255,690993524,727286180,103,76,0,0,17474.07374,514.497187,1424254964,1424254967,256.182769,297.970719,0.106324,0.051683,0.054641,0,1,NA,NA,NA,1,1,1,1,1,1,1,,0
59.166.0.4,64410,149.171.126.6,111,udp,CON,0.087306,568,312,31,29,0,0,NA,39035.11719,21441.82617,4,4,0,0,0,0,142,78,0,0,33.96116,33.87843,1421952511,1421952511,24.024666,23.960666,0,0,0,0,0,0,0,0,8,8,8,4,1,1,4,,0
59.166.0.6,52939,149.171.126.4,53,udp,CON,9.83e-4,146,178,31,29,0,0,dns,594099.6875,724313.3125,2,2,0,0,0,0,73,89,0,0,0,0,1424241080,1424241080,0.005,0.009,0,0,0,0,0,NA,NA,NA,2,3,2,6,2,1,2,,0
59.166.0.6,57169,149.171.126.2,25,tcp,FIN,0.472887,37284,3172,31,29,18,8,smtp,618617.125,52257.72656,52,38,255,255,3783585073,1639233340,717,83,0,0,998.050625,35.245691,1421946519,1421946520,9.265059,12.767405,6.2e-4,4.87e-4,1.33e-4,0,0,0,0,0,1,2,3,1,1,1,1,,0
59.166.0.3,15751,149.171.126.8,20025,tcp,FIN,0.022956,2646,24694,31,29,7,15,NA,900156.8125,8410176,42,44,255,255,1097576521,3243317657,63,561,0,0,40.618406,39.349311,1421946930,1421946930,0.551927,0.518535,8.11e-4,0.00064899999999999995,1.62e-4,0,0,0,0,0,11,11,4,4,1,1,2,,0
59.166.0.1,45609,149.171.126.0,2960,tcp,FIN,0.065083,3614,45396,31,29,7,24,NA,436857.5625,5490097.5,60,62,255,255,675678209,2825597798,60,732,0,0,70.131238,68.569065,1421945419,1421945419,1.097,1.05677,7.47e-4,6.09e-4,1.38e-4,0,0,0,0,0,16,14,13,14,3,3,3,,0
175.45.176.3,13423,149.171.126.10,445,tcp,FIN,0.790358,1014,764,254,252,3,2,NA,9413.456055,6771.614746,12,8,255,255,26667666,62694547,85,96,0,0,5056.53392,190.504,1424233732,1424233733,70.511727,107.526289,0.050147,0.037665,0.012482,0,1,NA,NA,NA,2,2,1,1,1,1,2, Fuzzers ,1
149.171.126.2,25060,59.166.0.2,54658,tcp,CON,0.027987,5864,416,29,31,1,0,NA,1490120.375,104048.3125,9,8,255,255,4274526520,2113201161,652,52,0,0,5.882108,3.878325,1421947068,1421947068,3.19925,2.637714,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,0
59.166.0.8,30344,149.171.126.4,55886,udp,CON,0.001787,520,304,31,29,0,0,NA,1745942.875,1020705.125,4,4,0,0,0,0,130,76,0,0,0.630504,0.318436,1421970057,1421970057,0.450333,0.231667,0,0,0,0,0,0,0,0,12,7,5,7,1,1,4,,0
59.166.0.8,56612,149.171.126.6,80,tcp,FIN,1.046311,1684,10168,31,29,3,5,http,11958.20313,73431.32031,14,18,255,255,1466755820,3613090934,120,565,1,3924,8890.973326,7784.827961,1421963713,1421963714,80.458844,61.514235,7.18e-4,5.65e-4,1.53e-4,0,0,1,0,0,2,1,5,3,2,1,1,,0
59.166.0.3,6473,149.171.126.3,4647,tcp,FIN,0.011868,2438,19266,31,29,7,13,NA,1600269.625,12662622,38,40,255,255,130716449,156258772,64,482,0,0,0,17.562263,1421927916,1421927916,0.311757,0.290282,6.85e-4,5.43e-4,1.42e-4,0,0,0,0,0,5,3,1,5,1,1,1,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,1.1e-5,264,0,60,0,0,0,dns,96000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424253270,1424253270,0.011,0,0,0,0,0,0,NA,NA,NA,31,31,31,31,31,18,31,,0
59.166.0.6,10309,149.171.126.9,44092,tcp,FIN,0.056103,5174,91194,31,29,7,39,NA,729658,12862485,90,92,255,255,2355176023,2368620298,57,991,0,0,32.674695,32.546521,1424257877,1424257877,0.622784,0.610934,6.29e-4,5.05e-4,1.24e-4,0,0,NA,NA,NA,5,3,5,6,1,1,2,,0
59.166.0.7,44144,149.171.126.1,42045,tcp,FIN,0.097973,2542,21882,31,29,7,14,NA,202423.125,1744235.75,40,42,255,255,534155842,2680391908,64,521,0,0,149.78911,145.844064,1421950011,1421950011,2.503872,2.377561,6.14e-4,4.86e-4,1.28e-4,0,0,0,0,0,7,5,3,5,1,1,1,,0
59.166.0.7,59188,149.171.126.0,22,tcp,FIN,0.010684,5824,8114,31,29,14,17,NA,4288281.5,5974541,60,60,255,255,3883257439,1734016418,97,135,0,0,11.08071,11.064778,1421934039,1421934039,0.181085,0.167644,7.91e-4,6.54e-4,1.37e-4,0,0,0,0,0,12,12,4,4,1,1,2,,0
59.166.0.8,44189,149.171.126.1,53,udp,CON,0.001046,146,178,31,29,0,0,dns,558317.375,680688.3125,2,2,0,0,0,0,73,89,0,0,0,0,1421959786,1421959786,0.01,0.008,0,0,0,0,0,0,0,0,6,1,2,5,3,1,1,,0
59.166.0.3,42413,149.171.126.7,53,udp,CON,9.47e-4,130,162,31,29,0,0,dns,549102.4375,684266.125,2,2,0,0,0,0,65,81,0,0,0,0,1421942270,1421942270,0.011,0.004,0,0,0,0,0,0,0,0,1,4,3,3,1,1,1,,0
59.166.0.5,2000,149.171.126.2,6881,tcp,FIN,0.165885,1540,1644,31,29,4,4,NA,69638.60156,74895.25781,16,18,255,255,572457623,596109970,96,91,0,0,755.870971,19.900498,1424245698,1424245698,11.037467,9.727647,9.25e-4,5.14e-4,4.11e-4,0,0,NA,NA,NA,11,6,6,13,6,1,6,,0
59.166.0.9,47731,149.171.126.2,1624,tcp,FIN,0.015881,2750,27344,31,29,7,16,NA,1354070.875,13475222,44,46,255,255,3802462597,3802761130,63,594,0,0,21.110777,19.909684,1421950281,1421950281,0.370571,0.339422,7.49e-4,5.96e-4,1.53e-4,0,0,0,0,0,4,2,3,3,1,1,2,,0
59.166.0.9,25650,149.171.126.7,61726,tcp,FIN,0.067648,2958,32650,31,29,7,18,NA,342596.9688,3783940.25,48,50,255,255,2525978193,392256835,62,653,0,0,82.031196,78.391319,1424237630,1424237630,1.462587,1.369592,6.73e-4,5.34e-4,1.39e-4,0,0,NA,NA,NA,5,3,2,3,1,1,1,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,3e-6,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424252897,1424252897,0.003,0,0,0,0,0,2,NA,NA,NA,21,21,18,18,18,18,21,Generic,1
175.45.176.0,1043,149.171.126.10,53,udp,INT,9e-6,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424259370,1424259370,0.009,0,0,0,0,0,2,NA,NA,NA,33,33,17,17,17,17,33,Generic,1
149.171.126.18,47439,175.45.176.1,53,udp,INT,4e-6,264,0,60,0,0,0,dns,264000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424239200,1424239200,0.004,0,0,0,0,0,0,NA,NA,NA,17,17,13,13,13,13,17,,0
59.166.0.7,61792,149.171.126.4,15489,tcp,FIN,0.223427,2928,216,31,29,1,1,ftp-data,94384.29688,5800.552246,10,4,255,255,289331221,916331467,293,54,0,0,2337.687349,105.011719,1421961540,1421961540,24.825222,74.257,6.43e-4,5.11e-4,1.32e-4,0,0,0,0,0,3,3,5,2,1,1,2,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,9e-6,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424238823,1424238823,0.009,0,0,0,0,0,2,NA,NA,NA,15,15,15,15,15,15,15,Generic,1
59.166.0.9,12513,149.171.126.5,5190,tcp,FIN,0.005208,1064,2260,31,29,4,4,NA,1499231.875,3182795.75,12,12,255,255,3612386433,1467302675,89,188,0,0,24.079117,0.563855,1421969787,1421969787,0.438727,0.418273,7.4e-4,5.97e-4,1.43e-4,0,0,0,0,0,3,4,4,2,1,1,1,,0
59.166.0.9,48639,149.171.126.1,1357,tcp,FIN,0.057293,3598,47288,31,29,7,24,NA,494161.5625,6496570,60,62,255,255,3167225246,3167556947,60,763,0,0,59.691375,56.939683,1421951146,1421951146,0.965322,0.928869,7.61e-4,6.21e-4,1.4e-4,0,0,0,0,0,18,11,2,9,1,1,2,,0
59.166.0.0,34455,149.171.126.7,143,tcp,FIN,2.206883,7708,14670,31,29,30,31,NA,27709.66992,52747.69922,120,123,255,255,2781328455,665152163,64,119,0,0,1143.749014,1131.084594,1421945476,1421945478,18.542462,18.084091,7.72e-4,6.21e-4,1.51e-4,0,0,0,0,0,8,9,9,9,6,6,9,,0
59.166.0.5,54517,149.171.126.2,143,tcp,FIN,1.764893,7818,15448,31,29,30,32,NA,35147.73828,69470.5,122,126,255,255,3251004046,3251947533,64,123,0,0,1091.721102,1073.919758,1421955803,1421955805,14.582967,14.11476,6.99e-4,5.44e-4,1.55e-4,0,0,0,0,0,15,14,2,3,2,2,2,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,5e-6,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424260428,1424260428,0.005,0,0,0,0,0,0,NA,NA,NA,37,37,37,37,37,19,37,,0
59.166.0.2,45506,149.171.126.4,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0,0,1421971952,1421971952,0.01,0.004,0,0,0,0,0,0,0,0,7,7,4,4,1,1,1,,0
59.166.0.0,34359,149.171.126.5,143,tcp,FIN,1.118721,7810,15068,31,29,30,32,NA,55391.82813,106900.6484,122,126,255,255,3867423824,3868460729,64,120,0,0,669.019033,661.306629,1421960493,1421960494,9.242719,8.945592,6.52e-4,5.14e-4,1.38e-4,0,0,0,0,0,3,7,7,3,1,1,1,,0
175.45.176.0,47439,149.171.126.12,53,udp,INT,6e-6,114,0,254,0,0,0,dns,76000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424223434,1424223434,0.006,0,0,0,0,0,2,NA,NA,NA,32,32,17,17,17,9,32,Generic,1
59.166.0.3,17286,149.171.126.9,5190,tcp,FIN,0.004114,1064,2260,31,29,4,4,NA,1897909.5,4029168.5,12,12,255,255,308784507,309076460,89,188,0,0,17.343048,0.395075,1421965251,1421965251,0.342,0.324545,6.6e-4,5.33e-4,1.27e-4,0,0,0,0,0,2,6,4,1,1,1,1,,0
59.166.0.4,28588,149.171.126.4,22,tcp,FIN,1.500701,24240,29348,31,29,54,67,ssh,128654.5469,155783.2031,228,234,255,255,3300779119,3296890349,106,125,0,0,459.888013,454.817059,1421964686,1421964688,6.611017,6.437515,7.66e-4,6.12e-4,1.54e-4,0,0,0,0,0,1,1,2,1,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,9e-6,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424240271,1424240271,0.009,0,0,0,0,0,2,NA,NA,NA,39,39,24,25,24,24,39,Generic,1
59.166.0.7,64028,149.171.126.8,3775,tcp,FIN,0.007523,8928,320,31,29,4,1,ftp-data,8816696,283929.2813,14,6,255,255,2894282951,2907300997,638,53,0,0,33.644753,2.439825,1424227956,1424227956,0.578692,1.3734,6.53e-4,5.16e-4,1.37e-4,0,0,NA,NA,NA,3,3,8,8,1,1,6,,0
59.166.0.8,60457,149.171.126.6,53,udp,CON,0.001034,146,178,31,29,0,0,dns,564796.9375,688588.0625,2,2,0,0,0,0,73,89,0,0,0,0,1424250213,1424250213,0.001,0.01,0,0,0,0,0,NA,NA,NA,3,3,1,6,2,1,2,,0
59.166.0.1,38685,149.171.126.2,38043,tcp,FIN,0.015976,2646,26176,31,29,7,15,NA,1293440.125,12810215,42,44,255,255,814718667,2964589363,63,595,0,0,21.358191,20.719945,1424251121,1424251121,0.382073,0.35807,6.99e-4,5.73e-4,1.26e-4,0,0,NA,NA,NA,5,5,3,3,1,1,1,,0
59.166.0.6,21765,149.171.126.6,25,tcp,FIN,0.482862,37232,3380,31,29,18,8,smtp,604992.75,54674.00781,52,42,255,255,2928791262,2934001292,716,80,0,0,773.287274,25.231145,1424228944,1424228944,9.460177,11.764512,6.37e-4,5.13e-4,1.24e-4,0,0,NA,NA,NA,1,1,4,5,1,1,2,,0
59.166.0.5,53464,149.171.126.6,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0,0,1424261325,1424261325,0.009,0.005,0,0,0,0,0,NA,NA,NA,5,4,3,8,3,1,1,,0
149.171.126.18,1043,175.45.176.1,53,udp,INT,1.1e-5,264,0,60,0,0,0,dns,96000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1421932289,1421932289,0.011,0,0,0,0,0,0,0,0,0,18,18,6,6,6,3,6,,0
59.166.0.5,46232,149.171.126.2,65034,tcp,FIN,0.046445,320,1850,31,29,1,2,ftp-data,45989.87891,278867.4688,6,8,255,255,2852520713,2866340963,53,231,0,0,642.361357,15.731133,1424239062,1424239062,9.2146,6.562429,6.35e-4,5.03e-4,1.32e-4,0,0,NA,NA,NA,1,1,4,5,1,1,1,,0
59.166.0.4,29411,149.171.126.1,5190,tcp,FIN,0.004081,1036,2262,31,29,4,4,NA,1862288.625,4065670,12,12,255,255,64480943,64797561,86,189,0,0,17.20839,0.37671,1424248331,1424248331,0.340364,0.313727,7.5e-4,6.2e-4,1.3e-4,0,0,NA,NA,NA,2,9,2,3,1,1,1,,0
59.166.0.4,36155,149.171.126.0,33898,udp,CON,0.001598,528,304,31,29,0,0,NA,1982478.125,1141426.875,4,4,0,0,0,0,132,76,0,0,0.581007,0.275301,1424227964,1424227964,0.414333,0.197667,0,0,0,0,0,NA,NA,NA,6,7,9,5,1,1,4,,0
59.166.0.0,50141,149.171.126.7,2227,tcp,FIN,0.012864,2766,24004,31,29,7,16,NA,1681592,14603856,44,46,255,255,2708703747,565404782,63,522,0,0,17.447024,16.659633,1424228553,1424228553,0.29819,0.2805,6.33e-4,5.19e-4,1.14e-4,0,0,NA,NA,NA,5,4,2,1,1,1,1,,0
59.166.0.2,23523,149.171.126.9,6881,tcp,FIN,1.03898,13766,548216,31,29,21,197,NA,105557.375,4211553.5,240,438,255,255,3638515268,3647003665,57,1252,0,0,898.929692,662.507613,1424252414,1424252415,4.345896,2.376487,5.69e-4,4.52e-4,1.17e-4,0,0,NA,NA,NA,5,5,2,3,1,1,3,,0
59.166.0.4,14845,149.171.126.6,10809,tcp,FIN,0.015932,2854,30654,31,29,7,17,NA,1401958.375,15072057,46,48,255,255,738403655,738722983,62,639,0,0,19.219852,19.274671,1421939449,1421939449,0.346756,0.33313,7.83e-4,5.97e-4,1.86e-4,0,0,0,0,0,4,7,1,4,1,1,1,,0
59.166.0.8,43924,149.171.126.7,143,tcp,FIN,0.03463,7810,16218,31,29,30,32,NA,1789431.125,3717008.25,122,126,255,255,1138332001,3284677146,64,129,0,0,18.322246,15.539009,1424255194,1424255194,0.285808,0.272784,6.63e-4,5.28e-4,1.35e-4,0,0,NA,NA,NA,6,5,5,4,1,1,2,,0
59.166.0.1,33308,149.171.126.8,5190,tcp,FIN,0.005271,1064,2260,31,29,4,4,NA,1481312.875,3144754.5,12,12,255,255,3464525057,3464813280,89,188,0,0,24.01191,0.596677,1421963688,1421963688,0.446273,0.430727,6.54e-4,5.22e-4,1.32e-4,0,0,0,0,0,9,4,2,1,1,1,1,,0
149.171.126.18,1043,175.45.176.3,53,udp,INT,3e-6,264,0,60,0,0,0,dns,352000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424230698,1424230698,0.003,0,0,0,0,0,0,NA,NA,NA,34,34,22,22,22,22,34,,0
59.166.0.4,6433,149.171.126.6,80,tcp,FIN,1.004936,1580,10168,31,29,3,5,http,11535.06348,76454.625,12,18,255,255,3414495844,1270137550,132,565,1,3924,9528.740996,7674.888933,1421935226,1421935227,91.325726,59.081644,6.79e-4,5.44e-4,1.35e-4,0,0,1,0,0,2,3,2,2,2,1,2,,0
59.166.0.1,7338,149.171.126.0,80,tcp,FIN,1.02708,1580,10168,31,29,3,5,http,11286.36426,74806.24219,12,18,255,255,180295258,2330915030,132,565,1,3924,9579.701363,7715.029432,1421957373,1421957374,93.335638,60.384355,6.87e-4,5.4e-4,1.47e-4,0,0,1,0,0,2,4,4,4,1,1,1,,0
59.166.0.3,50823,149.171.126.6,25,tcp,FIN,0.034755,37320,3380,31,29,18,8,smtp,8425378,759602.9375,52,42,255,255,1595634757,1596624067,718,80,0,0,40.70697,1.945294,1421961280,1421961280,0.674353,0.835293,7.15e-4,5.05e-4,2.1e-4,0,0,0,0,0,1,3,2,5,1,1,1,,0
149.171.126.15,1043,175.45.176.3,53,udp,INT,6e-6,264,0,60,0,0,0,dns,176000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424246076,1424246076,0.006,0,0,0,0,0,0,NA,NA,NA,47,47,38,38,38,19,47,,0
59.166.0.1,44409,149.171.126.7,5190,tcp,FIN,0.004339,1470,1728,31,29,5,4,NA,2588614.75,2959207,22,14,255,255,1015223441,3165034616,67,123,0,0,12.691123,0.36276,1421927810,1421927810,0.206619,0.285615,6.14e-4,4.9e-4,1.24e-4,0,0,0,0,0,1,3,2,3,1,1,1,,0
59.166.0.1,63948,149.171.126.9,6881,tcp,FIN,0.018541,1540,1644,31,29,4,4,NA,623051.5625,670082.5,16,18,255,255,445202510,450402095,96,91,0,0,73.723649,2.09296,1421928349,1421928349,1.2146,1.061294,6.14e-4,4.93e-4,1.21e-4,0,0,0,0,0,10,12,7,7,5,1,5,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,4e-6,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932301,1421932301,0.004,0,0,0,0,0,2,0,0,0,19,19,3,3,3,3,3,Generic,1
59.166.0.5,65311,149.171.126.6,53,udp,CON,0.001092,130,162,31,29,0,0,dns,476190.4688,593406.5625,2,2,0,0,0,0,65,81,0,0,0,0,1424237520,1424237520,0.01,0.007,0,0,0,0,0,NA,NA,NA,3,3,2,4,2,1,2,,0
59.166.0.4,24724,149.171.126.3,143,tcp,FIN,2.375788,7806,16420,31,29,30,32,NA,26073.0332,54853.37891,122,126,255,255,3746945507,3769526331,64,130,0,0,1163.15171,1145.036549,1421944518,1421944521,19.63162,19.001961,6.73e-4,5.39e-4,1.34e-4,0,0,0,0,0,9,4,2,6,1,1,1,,0
59.166.0.8,62432,149.171.126.8,53,udp,CON,0.001008,146,178,31,29,0,0,dns,579365.0625,706349.1875,2,2,0,0,0,0,73,89,0,0,0,0,1421946391,1421946391,0.001,0.002,0,0,0,0,0,0,0,0,4,3,7,4,4,2,2,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9e-6,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424254845,1424254845,0.009,0,0,0,0,0,2,NA,NA,NA,26,26,17,16,16,16,26,Generic,1
59.166.0.6,54147,149.171.126.4,53,udp,CON,9.38e-4,146,178,31,29,0,0,dns,622601.3125,759061.875,2,2,0,0,0,0,73,89,0,0,0,0,1424245453,1424245453,0.001,0.002,0,0,0,0,0,NA,NA,NA,2,3,3,2,1,1,1,,0
175.45.176.3,47439,149.171.126.15,53,udp,INT,9e-6,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424247799,1424247799,0.009,0,0,0,0,0,2,NA,NA,NA,34,34,22,17,17,17,34,Generic,1
59.166.0.3,2068,149.171.126.8,5190,tcp,FIN,0.004995,1036,2262,31,29,4,4,NA,1521521.5,3321721.75,12,12,255,255,1751087669,3896884071,86,189,0,0,22.671941,0.53566,1424240478,1424240478,0.422455,0.402364,6.99e-4,5.62e-4,1.37e-4,0,0,NA,NA,NA,2,5,5,4,2,1,5,,0
59.166.0.0,32765,149.171.126.9,32172,tcp,FIN,0.017868,2958,32586,31,29,7,18,NA,1297067.5,14298187,48,50,255,255,542995082,543311475,62,652,0,0,21.058604,20.41933,1421944832,1421944832,0.381109,0.35251,7.41e-4,5.84e-4,1.57e-4,0,0,0,0,0,19,20,23,14,3,3,3,,0
59.166.0.7,1189,149.171.126.3,17200,udp,CON,0.001899,520,304,31,29,0,0,NA,1642970,960505.5,4,4,0,0,0,0,130,76,0,0,0.675051,0.341535,1421969895,1421969895,0.484333,0.247,0,0,0,0,0,0,0,0,11,7,6,7,1,1,3,,0
